Price,Bedrooms,Bathrooms,type,address,deposit,available_date,rooms_available,Gas,Electricity,Water,Internet,Fridge,Freezer,Oven,Microwave,Dishwasher,Washing machine,Dryer,Furnished,Double glazing,Separate lounge,Bath,Shower,Alarm,Fire alarm,Garden,Off road parking,Garage,Wifi,Sky/Cable package,Energy performance certificate,Gas safe registered,Electrical safety certificate,NRLA registered
138,6,2,house,"Mansfield Road, Arboretum, Nottingham, NG13HW",,13th August 2024,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
135,4,1,flat,"10, Arboretum, Nottingham, NG14EF",,6th August 2024,4,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
120,8,2,house,"Mansfield Road, Arboretum, Nottingham, NG13FR",18.75,6th August 2024,8,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
132,5,1,house,"Mansfield Road, Arboretum, Nottingham, NG13HW",,13th August 2024,5,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
138,9,3,house,"Hampden Street, Arboretum, Nottingham, NG14FW",,20th August 2024,9,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
138,7,2,flat,"Mansfield Road, Arboretum, Nottingham, NG13HW",,13th August 2024,7,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
138,5,1,house,"Mansfield Road, Arboretum, Nottingham, NG13HW",,13th August 2024,5,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
138,7,2,flat,"Mansfield Road, Arboretum, Nottingham, NG13HW",,13th August 2024,7,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
160,8,3,flat,"1 Halifax House, City Centre, Nottingham, NG13QA",,20th August 2024,8,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
138,2,2,flat,"Mansfield Road, Arboretum, Nottingham, NG13HW",,13th August 2024,2,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
160,8,3,flat,"3 Halifax House, , Nottingham, NG13EP",,20th August 2024,8,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
132,8,2,house,"Mansfield Road, Arboretum, Nottingham, NG13HW",,27th August 2024,8,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
196,1,1,studio,"505, Hockley, Nottingham, NG13RB",,27th August 2024,1,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
135,3,2,flat,"Mansfield Road, Arboretum, Nottingham, NG13HW",,13th August 2024,3,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
140,4,1,flat,"North Sherwood Street, Arboretum, Nottingham, NG14EN",,6th August 2024,4,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
150,4,1,flat,"2, Arboretum, Nottingham, NG14EN",,6th August 2024,4,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
180,5,2,house,"Homefield Road, Heavitree, Exeter, EX12QX",700,31st August 2024,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
115,5,2,house,"Flat 23, Shoe &amp; Boot Factory, Highfields, Leicester, LE27AE",,16th July 2024,5,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
103,7,2,house,"Flat 24, Shoe &amp; Boot Factory, Highfields, Leicester, LE27AE",,16th July 2024,7,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
