,Price,Bedrooms,Bathrooms,type,deposit,rooms_available,Gas,Electricity,Water,Internet,Fridge,Freezer,Oven,Microwave,Dishwasher,Washing machine,Dryer,Furnished,Double glazing,Separate lounge,Bath,Shower,Alarm,Fire alarm,Garden,Off road parking,Garage,Wifi,Sky/Cable package,Energy performance certificate,Gas safe registered,Electrical safety certificate,NRLA registered,month,year,city,postcode,latitude,longitude
3568,190.0,1.0,1.0,flat,250.0,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,July,2024, Nottingham,NG7 2DP,51.2877808,1.0647465
3569,130.0,5.0,2.0,house,,5.0,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,July,2024, Leeds,LS6 1QQ,51.295616361538464,1.081467473076923
3570,105.0,6.0,2.0,house,,6.0,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,July,2024, Leeds,LS6 1QQ,52.63227,-1.13117
3571,92.0,2.0,1.0,flat,397.5,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,July,2024, Newcastle,NE1 2AU,52.63227,-1.13117
3572,138.0,2.0,1.0,flat,597.5,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,September,2024, Newcastle,NE1 4XB,54.97334,-1.60272
3573,159.0,2.0,1.0,flat,687.5,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,September,2024, Newcastle,NE2 3HU,53.01094,-2.182
3574,163.0,4.0,4.0,flat,350.0,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,September,2024, Newcastle,NE1 4LY,52.4425646948718,-1.9318381051282052
3575,89.0,5.0,2.0,house,150.0,5.0,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,,, Canterbury,CT2 8PZ,52.4474265,-1.9437096
3576,97.0,5.0,1.0,house,150.0,5.0,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,,, Canterbury,CT2 7BS,52.9251495,-1.4999941666666665
3577,99.0,6.0,2.0,house,150.0,6.0,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,June,2024, Canterbury,CT2 8EG,52.9249317,-1.4973037
